gbifID;ScientificName;year
3963690603;Pleurochaete squarrosa;2017
3963438459;Pleurochaete squarrosa;2022
3963275285;Pleurochaete squarrosa;2022
3962819367;Homalothecium aureum;2015
3961137953;Syntrichia ruralis;2022
3948226328;Pleurochaete squarrosa;
3947678372;Pleurochaete squarrosa;2022
3947662670;Pleurochaete squarrosa;2022
3947629784;Pleurochaete squarrosa;2022
3947606636;Pleurochaete squarrosa;2022
3947600648;Pleurochaete squarrosa;2016
3947588697;Pleurochaete squarrosa;2022
3947364657;Pleurochaete squarrosa;2022
3947297467;Pleurochaete squarrosa;2022
3947170564;Syntrichia ruralis;2022
3947142947;Pleurochaete squarrosa;2022
3947090104;Pleurochaete squarrosa;2003
3923620961;Pleurochaete squarrosa;2022
3923540033;Pleurochaete squarrosa;2022
3915717359;Pleurochaete squarrosa;2022
3912479959;Pleurochaete squarrosa;2022
3902919716;Pleurochaete squarrosa;2022
3902644694;Pleurochaete squarrosa;2021
3902276744;Pleurochaete squarrosa;2022
3892489315;Pleurochaete squarrosa;2014
3889188348;Pleurochaete squarrosa;2021
3889166350;Pleurochaete squarrosa;2020
3889136353;Pleurochaete squarrosa;2020
3889085388;Pleurochaete squarrosa;2021
3889003344;Pleurochaete squarrosa;2021
3888847343;Pleurochaete squarrosa;2020
3888822347;Pleurochaete squarrosa;2020
3888816334;Pleurochaete squarrosa;2020
3888792343;Pleurochaete squarrosa;2020
3888753347;Pleurochaete squarrosa;2020
3888736336;Pleurochaete squarrosa;2020
3888731341;Pleurochaete squarrosa;2020
3873037417;Pleurochaete squarrosa;2020
3859685095;Pleurochaete squarrosa;2022
3858981107;Pleurochaete squarrosa;2022
3858435527;Pleurochaete squarrosa;2022
3858173427;Pleurochaete squarrosa;2019
3812258146;Syntrichia ruralis;1997
3812257941;Syntrichia ruralis;1982
3812257262;Syntrichia ruralis;1969
3812256981;Syntrichia ruralis;1980
3812256515;Syntrichia ruralis;1980
3812256101;Syntrichia ruralis;1984
3812255377;Syntrichia ruralis;1984
3812255051;Syntrichia ruralis;1985
3812255035;Syntrichia ruralis;
3812254804;Syntrichia ruralis;1973
3812254625;Syntrichia ruralis;1988
3812254489;Homalothecium aureum;2017
3812253649;Syntrichia ruralis;1984
3812253589;Syntrichia ruralis;1980
3812253220;Syntrichia ruralis;1976
3812252907;Syntrichia ruralis;1999
3812252542;Syntrichia ruralis;1976
3812251797;Syntrichia ruralis;1992
3812251787;Syntrichia ruralis;1976
3812251786;Syntrichia ruralis;
3812251584;Syntrichia ruralis;1972
3812251325;Homalothecium aureum;2017
3812251172;Syntrichia ruralis;1991
3812250975;Syntrichia ruralis;1969
3812250782;Syntrichia ruralis;1974
3812250471;Syntrichia ruralis;1997
3812250171;Syntrichia ruralis;1999
3812249919;Syntrichia ruralis;1991
3812249712;Syntrichia ruralis;2017
3812249419;Syntrichia ruralis;1984
3812249411;Syntrichia ruralis;1992
3812249137;Syntrichia ruralis;1979
3812249055;Syntrichia ruralis;1992
3812248543;Syntrichia ruralis;1985
3812247142;Syntrichia ruralis;2017
3812246551;Syntrichia ruralis;1997
3812246483;Syntrichia ruralis;
3812246025;Syntrichia ruralis;1983
3812245956;Syntrichia ruralis;1985
3812245506;Syntrichia ruralis;1983
3812245008;Syntrichia ruralis;1982
3812244799;Syntrichia ruralis;1985
3812244688;Syntrichia ruralis;1985
3812244569;Syntrichia ruralis;1970
3812243329;Syntrichia ruralis;1983
3812243192;Syntrichia ruralis;1983
3812243044;Syntrichia ruralis;1965
3812242030;Syntrichia ruralis;1976
3812241949;Syntrichia ruralis;1979
3812241692;Syntrichia ruralis;1991
3812240577;Syntrichia ruralis;2017
3812240254;Syntrichia ruralis;1983
3812240166;Syntrichia ruralis;1988
3812238846;Syntrichia ruralis;1971
3812238448;Syntrichia ruralis;1983
3812237901;Syntrichia ruralis;1975
3812237781;Syntrichia ruralis;1976
3803064309;Pleurochaete squarrosa;2010
3802699300;Pleurochaete squarrosa;2022
3802677979;Pleurochaete squarrosa;2022
3802634336;Pleurochaete squarrosa;2020
3802379653;Pleurochaete squarrosa;2022
3802275338;Pleurochaete squarrosa;2020
3785071355;Pleurochaete squarrosa;2021
3784946407;Pleurochaete squarrosa;2022
3784856581;Pleurochaete squarrosa;2022
3784773407;Pleurochaete squarrosa;2022
3784701374;Pleurochaete squarrosa;2022
3784696418;Pleurochaete squarrosa;2022
3773578838;Pleurochaete squarrosa;2022
3773323894;Syntrichia ruralis;2016
3773170854;Syntrichia ruralis;2022
3773149648;Pleurochaete squarrosa;2022
3772920158;Syntrichia ruralis;2022
3772888613;Pleurochaete squarrosa;2022
3772707491;Pleurochaete squarrosa;2021
3772668404;Pleurochaete squarrosa;2022
3764450002;Pleurochaete squarrosa;2022
3762975314;Syntrichia ruralis;1975
3762974315;Syntrichia ruralis;1976
3760373581;Pleurochaete squarrosa;2022
3760302502;Pleurochaete squarrosa;2022
3760190496;Pleurochaete squarrosa;2022
3760161771;Pleurochaete squarrosa;2022
3759980738;Syntrichia ruralis;2022
3759870153;Pleurochaete squarrosa;2022
3759740200;Pleurochaete squarrosa;2022
3759723486;Syntrichia ruralis;2022
3759490766;Syntrichia ruralis;2022
3759059839;Syntrichia ruralis;2022
3754080851;Homalothecium aureum;
3754063211;Homalothecium aureum;1928
3754059401;Homalothecium aureum;1928
3747393456;Pleurochaete squarrosa;2022
3747368436;Syntrichia ruralis;2022
3747344016;Pleurochaete squarrosa;2022
3747285200;Pleurochaete squarrosa;2022
3747209963;Pleurochaete squarrosa;2022
3747018500;Pleurochaete squarrosa;2022
3743306837;Pleurochaete squarrosa;2022
3743105794;Syntrichia ruralis;2022
3742982827;Pleurochaete squarrosa;2022
3712751821;Pleurochaete squarrosa;2022
3712739777;Pleurochaete squarrosa;2021
3712683623;Syntrichia ruralis;2022
3712518899;Syntrichia ruralis;2022
3712515609;Syntrichia ruralis;2022
3711589859;Syntrichia ruralis;
3705822586;Pleurochaete squarrosa;2022
3705818603;Pleurochaete squarrosa;2022
3705818272;Pleurochaete squarrosa;2022
3705811039;Syntrichia ruralis;2022
3705793188;Pleurochaete squarrosa;2022
3705771546;Pleurochaete squarrosa;2022
3705764787;Pleurochaete squarrosa;2022
3705756935;Pleurochaete squarrosa;2022
3705750678;Syntrichia ruralis;2022
3705747630;Pleurochaete squarrosa;2022
3705743747;Pleurochaete squarrosa;2022
3705742777;Syntrichia ruralis;2022
3705707047;Pleurochaete squarrosa;2022
3705692986;Pleurochaete squarrosa;2022
3705676808;Syntrichia ruralis;2022
3705607723;Pleurochaete squarrosa;2022
3705578040;Pleurochaete squarrosa;2022
3705573955;Pleurochaete squarrosa;2022
3705476979;Syntrichia ruralis;2022
3705452800;Syntrichia ruralis;2022
3705444655;Pleurochaete squarrosa;2022
3705403857;Pleurochaete squarrosa;2022
3499773381;Syntrichia ruralis;
3499771384;Pleurochaete squarrosa;1985
3499770387;Pleurochaete squarrosa;
3499574088;Pleurochaete squarrosa;2022
3469016659;Pleurochaete squarrosa;2022
3468854826;Pleurochaete squarrosa;2022
3467694303;Syntrichia ruralis;1998
3467366650;Homalothecium aureum;1975
3467357644;Homalothecium aureum;1824
3467355770;Homalothecium aureum;
3467350340;Homalothecium aureum;
3467328533;Homalothecium aureum;1915
3467298527;Homalothecium aureum;1975
3467290936;Homalothecium aureum;1975
3467238492;Syntrichia ruralis;1908
3467210298;Homalothecium aureum;1967
3467166364;Homalothecium aureum;1975
3467150359;Syntrichia ruralis;2003
3466508812;Syntrichia ruralis;2022
3466493409;Pleurochaete squarrosa;2022
3466384481;Pleurochaete squarrosa;2022
3466344101;Pleurochaete squarrosa;2022
3466293611;Syntrichia ruralis;2022
3466254098;Pleurochaete squarrosa;2022
3466243060;Pleurochaete squarrosa;2022
3466178892;Syntrichia ruralis;2022
3466161101;Pleurochaete squarrosa;2022
3466156569;Pleurochaete squarrosa;2022
3466148080;Pleurochaete squarrosa;2022
3465981852;Pleurochaete squarrosa;2022
3465928624;Pleurochaete squarrosa;2021
3465890717;Pleurochaete squarrosa;2022
3457117440;Pleurochaete squarrosa;2021
3457026583;Pleurochaete squarrosa;2021
3457025288;Pleurochaete squarrosa;2021
3456974096;Syntrichia ruralis;2021
3456951947;Pleurochaete squarrosa;2022
3456929213;Pleurochaete squarrosa;2022
3456904866;Pleurochaete squarrosa;2021
3456880874;Pleurochaete squarrosa;2021
3456694715;Pleurochaete squarrosa;2022
3456678770;Pleurochaete squarrosa;2021
3456588782;Syntrichia ruralis;2021
3456587896;Pleurochaete squarrosa;2022
3456585652;Pleurochaete squarrosa;2022
3456517539;Syntrichia ruralis;2021
3456511665;Pleurochaete squarrosa;2021
3456494800;Pleurochaete squarrosa;2022
3456482240;Pleurochaete squarrosa;2021
3456298390;Pleurochaete squarrosa;2022
3456201289;Pleurochaete squarrosa;2022
3456147887;Pleurochaete squarrosa;2021
3456055820;Pleurochaete squarrosa;2022
3455970330;Pleurochaete squarrosa;2021
3455969255;Pleurochaete squarrosa;2022
3455860755;Pleurochaete squarrosa;2022
3455759761;Pleurochaete squarrosa;2021
3455679057;Syntrichia ruralis;2021
3455555872;Pleurochaete squarrosa;2022
3455388100;Pleurochaete squarrosa;2021
3455330176;Pleurochaete squarrosa;2021
3455200061;Syntrichia ruralis;2021
3416212826;Pleurochaete squarrosa;2021
3416147021;Syntrichia ruralis;2021
3416086954;Pleurochaete squarrosa;2021
3416069329;Pleurochaete squarrosa;2021
3415992368;Pleurochaete squarrosa;2021
3415695648;Syntrichia ruralis;2021
3415567506;Pleurochaete squarrosa;2021
3415498237;Pleurochaete squarrosa;2021
3415453093;Pleurochaete squarrosa;2021
3408032174;Pleurochaete squarrosa;2021
3407998032;Syntrichia ruralis;2021
3407974218;Pleurochaete squarrosa;2021
3407897211;Pleurochaete squarrosa;2021
3399416218;Pleurochaete squarrosa;2021
3399313338;Pleurochaete squarrosa;2021
3398814522;Pleurochaete squarrosa;2021
3391712981;Pleurochaete squarrosa;2021
3384692946;Pleurochaete squarrosa;2021
3384041786;Pleurochaete squarrosa;2021
3355552424;Pleurochaete squarrosa;2021
3355481477;Pleurochaete squarrosa;2021
3355478448;Pleurochaete squarrosa;2021
3355457470;Pleurochaete squarrosa;2021
3355403563;Pleurochaete squarrosa;2021
3355344012;Pleurochaete squarrosa;2021
3349868649;Syntrichia ruralis;
3349686965;Pleurochaete squarrosa;
3349637990;Pleurochaete squarrosa;
3349625955;Pleurochaete squarrosa;
3349615855;Pleurochaete squarrosa;
3349446560;Syntrichia ruralis;
3346627424;Pleurochaete squarrosa;
3346266687;Pleurochaete squarrosa;
3328791078;Syntrichia ruralis;2004
3328791075;Homalothecium aureum;2006
3328791004;Homalothecium aureum;2005
3328790975;Homalothecium aureum;2006
3328790893;Syntrichia ruralis;2007
3328790840;Homalothecium aureum;2006
3328790725;Homalothecium aureum;2005
3328790690;Homalothecium aureum;2005
3328790650;Syntrichia ruralis;2005
3328790574;Homalothecium aureum;2006
3328790518;Syntrichia ruralis;2005
3328790308;Syntrichia ruralis;
3328790303;Homalothecium aureum;2015
3328790297;Homalothecium aureum;2005
3328790261;Homalothecium aureum;2005
3328790193;Homalothecium aureum;1984
3328790190;Homalothecium aureum;2007
3328790158;Homalothecium aureum;2005
3328790152;Homalothecium aureum;2005
3328790088;Homalothecium aureum;2006
3328789928;Homalothecium aureum;2005
3328789899;Homalothecium aureum;2005
3328789814;Homalothecium aureum;1973
3328789683;Syntrichia ruralis;1973
3328789665;Homalothecium aureum;2005
3328789600;Homalothecium aureum;1972
3328789594;Syntrichia ruralis;2006
3328789547;Homalothecium aureum;2005
3328789535;Syntrichia ruralis;2005
3328789480;Homalothecium aureum;2005
3328789420;Homalothecium aureum;2006
3328789410;Syntrichia ruralis;2007
3328789279;Syntrichia ruralis;2005
3328788991;Syntrichia ruralis;2004
3328788961;Syntrichia ruralis;2007
3328788886;Syntrichia ruralis;2004
3328788870;Homalothecium aureum;2006
3328788834;Syntrichia ruralis;2004
3328788774;Homalothecium aureum;2006
3328788729;Syntrichia ruralis;2005
3328788727;Syntrichia ruralis;2005
3328788628;Homalothecium aureum;2004
3328788610;Homalothecium aureum;1998
3328788532;Syntrichia ruralis;1972
3328788524;Syntrichia ruralis;2005
3328788430;Syntrichia ruralis;1984
3328788422;Syntrichia ruralis;2005
3328788351;Syntrichia ruralis;2005
3328788204;Syntrichia ruralis;2012
3328788142;Syntrichia ruralis;
3328787999;Syntrichia ruralis;2006
3328787826;Homalothecium aureum;2012
3328787778;Syntrichia ruralis;2005
3328787669;Homalothecium aureum;2006
3328787565;Syntrichia ruralis;1972
3328787387;Syntrichia ruralis;2006
3328787321;Homalothecium aureum;2006
3328787252;Homalothecium aureum;2005
3328787247;Homalothecium aureum;2006
3328787230;Homalothecium aureum;2007
3328786954;Syntrichia ruralis;
3328786927;Syntrichia ruralis;1972
3328786913;Syntrichia ruralis;2005
3328786848;Syntrichia ruralis;2005
3328786820;Homalothecium aureum;2006
3328786731;Homalothecium aureum;2006
3328786675;Homalothecium aureum;2004
3328786643;Homalothecium aureum;2006
3328786635;Homalothecium aureum;2005
3328786530;Homalothecium aureum;2007
3328786484;Homalothecium aureum;2006
3328786355;Homalothecium aureum;2006
3328786097;Homalothecium aureum;2005
3328786045;Homalothecium aureum;2006
3328786021;Homalothecium aureum;2005
3328786015;Syntrichia ruralis;2006
3328785968;Syntrichia ruralis;2005
3328785894;Homalothecium aureum;2006
3328785882;Syntrichia ruralis;2005
3328785842;Syntrichia ruralis;1973
3328785755;Homalothecium aureum;2006
3328785527;Syntrichia ruralis;2005
3328785520;Homalothecium aureum;2006
3328785500;Syntrichia ruralis;2005
3328785468;Homalothecium aureum;2005
3328785460;Syntrichia ruralis;1972
3328785417;Syntrichia ruralis;1971
3328785399;Syntrichia ruralis;2006
3328785210;Homalothecium aureum;2006
3328785179;Syntrichia ruralis;2006
3328785168;Syntrichia ruralis;2005
3328785111;Homalothecium aureum;2006
3328785020;Homalothecium aureum;2005
3328784863;Homalothecium aureum;2005
3328784643;Homalothecium aureum;2007
3328784640;Syntrichia ruralis;1972
